State/Union Territory , Culture Name          , Famous Food                     , Famous Festivals                 , Famous Monuments                            
Andhra Pradesh        , Telugu                , "Biryani, Andhra Chicken Curry"   , "Ugadi, Sankranti                " , "Charminar, Tirupati Temple, Golconda Fort   "
Arunachal Pradesh     , Arunachali            , "Thukpa, Momos"                   , "Losar, Torgya                   " , "Tawang Monastery, Ziro Valley               "
Assam                 , Assamese              , "Assam Tea, Assam Laksa"          , "Bihu, Durga Puja                " , "Kaziranga National Park, Kamakhya Temple    "
Bihar                 , Bihari                , "Litti Chokha, Sattu Paratha"     , "Chhath Puja, Makar Sankranti    " , "Mahabodhi Temple, Nalanda University        "
Chhattisgarh          , Chhattisgarhi         , "Chana Samosa, Chana Bhatura"     , "Bastar Dussehra, Navakhani      " , "Chitrakoot Falls, Rajiv Smriti Van          "
Goa                   , Goan                  , "Fish Curry Rice, Vindaloo"       , "Carnival, Shigmo                " , "Basilica of Bom Jesus, Fort Aguada          "
Gujarat               , Gujarati              , "Dhokla, Thepla"                  , "Navratri, Diwali                " , "Rani Ki Vav, Somnath Temple                 "
Haryana               , Haryanvi              , "Bhutte Ka Kees, Kadhi"           , "Baisakhi, Teej                  " , "Kurukshetra War Memorial, Pinjore Gardens   "
Himachal Pradesh      , Himachali             , "Chana Madra, Dham"               , "Kullu Dussehra, Lohri           " , "Shimla Ridge, Great Himalayan National Park "
Jharkhand             , Jharkhandi            , "Thekua, litti chokha"            , "Sarhul, Karma Puja              " , "Betla National Park, Hundru Falls            "
Karnataka             , Kannadiga             , "Bisi Bele Bath, Ragi Mudde"      , "Dasara, Ugadi                   " , "Mysore Palace, Hampi                        "
Kerala                , Malayali              , "Sadya, Appam with Stew"          , "Onam, Vishu                     " , "Backwaters of Kerala, Meenakshi Temple      "
Madhya Pradesh        , Madhya Pradeshi       , "Poha, Seekh Kebabs"              , "Khajuraho Dance Festival, Diwali" , "Khajuraho Group of Monuments, Sanchi Stupa  "
Maharashtra           , Maharashtrian         , "Vada Pav, Puran Poli"            , "Ganesh Chaturthi, Gudi Padwa    " , "Gateway of India, Ajanta and Ellora Caves   "
Manipur               , Manipuri              , "Eromba, Iromba"                  , "Yaoshang, Lai Haraoba           " , "Kangla Fort, Loktak Lake                    "
Meghalaya             , "Khasi, Garo, Jaintia", "Jadoh, Tungrymbai"               , "Nongkrem Dance, Wangala       ",    "Living Root Bridges, Shillong Peak          "
Mizoram               , Mizo                  , "Bamboo Shoot Curry, Bamboo Rice" , "Chapchar Kut, Mim Kut           " , "Aizawl Cathedral, Phawngpui Peak            "
Nagaland              , Naga                  , "Smoked Pork Curry, Bamboo Shoots", "Hornbill Festival, Moatsu       " , "Kohima War Cemetery, DzÃ¼kou Valley          "
Odisha                , Odia                  , "Dalma, Pakhala"                  , "Rath Yatra, Durga Puja          " , "Konark Sun Temple, Jagannath Temple         "
Punjab                , Punjabi               , "Butter Chicken, Makki Di Roti"   , "Baisakhi, Diwali                " , "Golden Temple, Jallianwala Bagh             "
Rajasthan             , Rajasthani            , "Dal Baati Churma, Laal Maas"     , "Pushkar Fair, Desert Festival   " , "Amer Fort, Hawa Mahal                       "
Sikkim                , Sikkimese             , "Phagshapa, Thukpa"               , "Losar, Saga Dawa                " , "Rumtek Monastery, Tsomgo Lake               "
Tamil Nadu            , Tamil                 , "Chettinad Chicken Curry, Dosai " , "Pongal, Diwali                  " , "Meenakshi Temple, Mahabalipuram Shore Temple"
Telangana             , Telugu                , "Hyderabadi Biryani, Mirchi Bajji" ," Bonalu, Bathukamma             " , "Charminar, Ramoji Film City                 "
Tripura               , Tripuri               , "Mui Borok, Mui Borok Mosdeng"    , "Durga Puja, Garia Puja          " , "Neermahal Palace, Unakoti Group of Temples  "
Uttar Pradesh         , Uttar Pradeshi        , "Tunday Kababi, Aloo Paratha"     , "Diwali, Holi                    " , "Taj Mahal, Varanasi Ghats                   "
Uttarakhand           , Uttarakhandi          , "Aloo Ke Gutke, Chainsoo"         , "Kumbh Mela, Ganga Dussehra      " , "Badrinath Temple, Jim Corbett National Park "
West Bengal           , Bengali               , "Machher Jhol, Rosogolla"         , "Durga Puja, Kali Puja           " , "Victoria Memorial, Sundarbans               "
Delhi                 , Dilli                 , "Butter Chicken, Chole Bhature"   , "Diwali, Holi                    " , "India Gate, Qutub Minar                     "
Puducherry            , "French, Tamil"       , "Creole Cuisine, Prawn Biryani"   , "Bastille Day, Pongal            " , "Auroville, Basilica of the Sacred Heart      "
Chandigarh            , Punjabi               , "Butter Chicken, Chole Bhature "  , "Diwali, Holi                    " , "Rock Garden, Sukhna Lake                     "
Daman and Diu         , Gujarati              , "Seafood, Farcha               "  , "Diwali                          " , "Diu Fort, Moti Daman Fort                    "
Dadra and Nagar Haveli, Various               , "Farcha, Dhokla                "  , "Diwali                          " , "Tribal Culture Museum, Vanganga Lake         "
Lakshadweep           , Lakshadweepi          , "Seafood, Coconut Rice         "  , "Eid-ul-Fitr, Eid-ul-Adha        " , "Lighthouse, Agatti Island                    "
Andaman and Nicobar   , Various               , "Seafood, Coconut Curry        "  , "Island Tourism Festival         " , "Cellular Jail, Radhanagar Beach               "
